MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,TEAM_ID,TEAM_NAME,Season,FullTeamName,GamesAggregated
46.6,35.75,78.2,0.4565,9.35,26.05,0.35355,17.25,24.4,0.7036,9.9,34.05,43.95,21.6,15.2,5.9,4.35,4.85,22.25,21.9,98.1,4.45,1.0,21.65,21.65,21.65,25.9,49.8,54.45,45.8,49.0,53.35,45.15,39.6,35.9,54.65,43.95,38.5,42.9,40.7,48.35,46.65,36.75,43.05,48.65,37.5,51.6,45.75,1.0,1610612739,Cleveland Cavaliers,2015-16,Cleveland Cavaliers,20
45.85,37.75,82.8,0.45380000000000004,10.25,26.35,0.38254999999999995,17.95,24.7,0.7342000000000001,11.3,33.15,44.45,24.7,15.45,8.55,5.4,5.1,21.7,23.5,103.7,11.0,1.0,12.4,12.4,12.4,30.2,54.8,51.45,54.5,56.25,57.05,50.75,37.2,35.55,49.6,34.8,54.3,49.5,54.25,44.05,37.55,46.85,44.15,45.9,29.1,56.1,42.65,1.0,1610612744,Golden State Warriors,2015-16,Golden State Warriors,20
44.0,33.8,76.9,0.43574999999999997,6.1,18.9,0.32665,16.65,22.05,0.76675,9.35,33.25,42.6,18.85,15.0,8.45,5.9,4.9,20.7,20.55,90.35,6.2,1.0,19.5,19.5,19.5,42.5,61.45,58.75,62.6,48.8,40.45,56.95,44.75,40.05,54.45,42.35,45.25,47.75,61.25,55.75,41.05,40.4,51.15,56.4,39.4,64.3,53.9,1.0,1610612759,San Antonio Spurs,2015-16,San Antonio Spurs,20
46.0,33.85,78.85,0.42855,6.5,20.3,0.30715,22.0,28.5,0.76945,11.85,33.65,45.5,16.85,15.9,8.9,4.6,5.8,22.35,24.1,96.2,5.0,1.0,24.6,24.6,24.6,24.5,54.9,48.8,54.75,57.7,56.2,56.1,36.75,35.85,45.0,29.3,41.5,35.3,49.6,57.1,29.15,48.4,43.1,51.0,29.65,52.95,41.25,1.0,1610612761,Toronto Raptors,2015-16,Toronto Raptors,20
46.85,38.35,83.0,0.4606,7.3,21.45,0.33494999999999997,18.05,24.05,0.7523000000000001,13.1,31.5,44.6,20.55,16.9,7.9,6.3,4.95,23.25,20.85,102.05,3.65,1.0,24.2,24.2,24.2,25.2,49.3,49.85,49.4,46.6,48.4,45.3,47.1,47.9,49.9,41.3,54.5,52.75,52.45,47.4,35.5,35.95,42.75,54.1,37.0,51.5,48.55,1.0,1610612760,Oklahoma City Thunder,2015-16,Oklahoma City Thunder,20
44.1,32.0,73.95,0.43079999999999996,6.0,19.7,0.30605000000000004,17.25,23.4,0.74215,10.35,30.0,40.35,16.7,15.1,7.3,6.15,4.75,22.05,21.8,87.25,2.2,1.0,22.6,22.6,22.6,45.45,66.6,63.75,60.35,42.25,34.8,51.05,45.25,44.8,47.9,39.4,56.35,53.5,61.75,47.2,40.1,42.3,48.4,62.1,36.5,66.45,44.35,1.0,1610612748,Miami Heat,2015-16,Miami Heat,20
46.45,36.35,79.7,0.4553999999999999,6.55,21.35,0.30060000000000003,18.2,26.8,0.66785,9.75,30.3,40.05,19.9,13.9,8.2,6.05,3.25,23.0,23.55,97.45,-0.45,1.0,33.4,33.4,33.4,26.35,47.85,48.9,48.3,61.3,59.85,56.5,41.2,40.45,51.3,32.1,54.3,50.65,55.7,45.65,43.8,35.05,36.0,49.45,35.4,51.1,52.4,1.0,1610612746,LA Clippers,2015-16,LA Clippers,20
45.2,34.95,77.15,0.45175,7.95,23.45,0.33175,14.8,19.3,0.7791,8.15,31.3,39.45,22.1,16.8,9.7,5.45,4.95,20.1,19.7,92.65,1.2,1.0,21.8,21.8,21.8,32.95,54.35,60.15,45.1,53.75,61.0,47.55,45.8,45.6,42.5,41.7,53.55,53.9,52.55,51.4,35.4,44.35,40.0,42.25,34.65,57.65,47.9,1.0,1610612737,Atlanta Hawks,2015-16,Atlanta Hawks,20
44.8,34.4,81.55,0.4197,8.4,26.95,0.31675,19.35,24.45,0.7944,11.15,30.15,41.3,20.6,13.85,10.4,4.8,4.65,21.5,23.1,96.55,6.15,1.0,22.2,22.2,22.2,35.6,58.8,59.35,54.0,42.75,37.25,51.75,43.05,42.6,45.05,44.05,57.35,54.75,54.35,45.5,29.5,32.1,33.85,41.95,35.3,58.8,38.55,1.0,1610612738,Boston Celtics,2015-16,Boston Celtics,20
45.85,35.25,78.7,0.44930000000000003,8.55,24.15,0.3496,15.6,21.75,0.7226999999999999,9.9,32.55,42.45,18.45,15.6,6.4,4.65,5.15,22.7,19.9,94.65,-0.85,1.0,29.2,29.2,29.2,28.85,54.3,57.25,45.5,53.3,58.45,46.8,50.0,46.9,48.0,48.4,47.85,53.15,57.35,44.45,44.2,39.05,40.9,47.7,40.0,61.3,47.15,1.0,1610612757,Portland Trail Blazers,2015-16,Portland Trail Blazers,20
45.6,35.45,81.0,0.43784999999999996,7.9,26.15,0.31354999999999994,18.75,24.2,0.78115,8.35,33.3,41.65,20.05,13.5,7.55,3.4,4.85,21.65,23.7,97.55,0.6,1.0,20.8,20.8,20.8,34.0,48.2,52.15,46.3,52.95,54.4,51.25,36.25,35.25,47.0,45.15,41.4,45.65,50.6,44.35,35.6,40.75,45.65,52.45,28.65,50.5,41.4,1.0,1610612742,Dallas Mavericks,2015-16,Dallas Mavericks,20
46.25,35.4,79.7,0.4425,9.3,25.9,0.35905,16.3,21.15,0.7811,8.3,34.0,42.3,19.95,13.45,6.95,5.6,3.95,17.85,21.2,96.4,3.1,1.0,23.5,23.5,23.5,25.1,46.2,48.95,40.5,50.8,57.0,44.85,49.8,50.25,49.1,44.55,42.85,45.7,48.5,46.35,41.3,36.8,28.25,38.55,36.05,51.4,41.35,1.0,1610612766,Charlotte Hornets,2015-16,Charlotte Hornets,20
46.0,34.95,79.7,0.43765,9.0,22.8,0.38499999999999995,16.3,22.65,0.72815,10.1,30.1,40.2,19.75,15.75,8.8,4.6,4.65,19.95,22.05,95.2,1.4,1.0,21.7,21.7,21.7,27.5,53.55,52.55,49.4,35.45,43.25,36.1,45.95,42.4,52.8,41.7,54.9,54.15,45.0,45.05,42.55,37.9,42.05,40.55,32.95,51.65,42.8,1.0,1610612754,Indiana Pacers,2015-16,Indiana Pacers,20
46.75,32.35,77.4,0.4203,5.25,16.9,0.30030000000000007,21.65,26.45,0.8161999999999999,9.8,28.9,38.7,19.3,13.95,9.65,3.35,6.05,22.9,23.9,91.6,-1.95,1.0,17.45,17.45,17.45,23.3,57.85,54.4,51.3,47.05,47.2,48.95,34.75,36.4,36.45,45.6,47.25,50.45,46.95,45.4,34.9,47.6,43.75,47.25,29.65,54.8,40.75,1.0,1610612763,Memphis Grizzlies,2015-16,Memphis Grizzlies,20
46.5,34.6,83.0,0.4184,8.3,28.8,0.27895,22.05,30.4,0.72005,12.3,30.9,43.2,19.25,16.3,10.45,5.3,6.15,23.1,25.2,99.55,-4.8,1.0,28.95,28.95,28.95,25.4,56.4,44.8,58.9,53.8,45.4,59.0,35.65,39.55,35.95,37.15,42.1,40.75,55.3,43.95,38.55,36.65,49.55,48.3,33.9,57.45,52.6,1.0,1610612745,Houston Rockets,2015-16,Houston Rockets,20
46.25,34.25,82.55,0.4157,7.55,24.0,0.3123,15.8,22.5,0.7094,12.85,32.0,44.85,16.0,14.15,7.65,3.65,4.0,19.7,21.55,91.85,0.15,1.0,24.0,24.0,24.0,25.05,54.95,47.95,54.75,52.15,49.0,52.25,46.5,49.6,35.9,39.6,48.05,44.8,59.15,45.45,33.65,37.45,34.65,45.15,39.0,58.25,44.2,1.0,1610612765,Detroit Pistons,2015-16,Detroit Pistons,20
46.1,34.9,82.6,0.42460000000000003,8.15,22.4,0.36605000000000004,16.35,21.85,0.7463,9.6,35.4,45.0,20.1,14.7,6.45,5.6,5.8,21.15,19.55,94.3,0.9,1.0,19.0,19.0,19.0,29.3,58.35,51.3,52.75,37.55,37.6,42.4,39.05,37.05,50.55,51.65,41.35,46.8,52.1,46.45,33.25,40.75,41.35,53.0,38.85,56.1,39.4,1.0,1610612741,Chicago Bulls,2015-16,Chicago Bulls,20
44.9,32.6,77.45,0.42044999999999993,6.55,19.75,0.32715,18.8,25.55,0.73555,11.0,30.1,41.1,16.35,14.15,8.45,5.2,5.2,22.15,23.0,90.55,2.65,1.0,21.25,21.25,21.25,40.15,55.3,50.35,57.9,55.95,58.1,50.75,37.3,36.9,46.55,39.1,52.35,50.4,56.0,38.25,36.2,38.9,47.75,54.45,30.95,59.15,43.0,1.0,1610612762,Utah Jazz,2015-16,Utah Jazz,20
45.6,33.7,79.45,0.42605000000000004,7.2,22.65,0.31015,19.85,26.0,0.7642,10.5,31.25,41.75,19.5,16.7,8.65,3.9,4.4,21.25,22.45,94.45,-5.3,1.0,25.2,25.2,25.2,27.0,65.2,60.0,55.85,49.5,50.2,52.7,31.75,34.25,36.95,34.5,48.85,42.5,59.4,53.5,35.45,39.7,41.25,41.5,32.65,59.75,52.5,1.0,1610612764,Washington Wizards,2015-16,Washington Wizards,20
46.35,36.55,82.05,0.4426500000000001,7.5,21.9,0.34425,16.45,23.35,0.7016500000000001,10.7,32.7,43.4,22.5,18.85,8.55,4.45,5.25,22.1,21.25,97.05,-4.65,1.0,23.75,23.75,23.75,23.9,51.1,49.25,52.2,43.7,44.55,47.2,49.25,48.5,47.7,38.65,44.65,43.35,48.65,55.4,41.9,38.8,38.95,48.25,45.1,55.65,47.2,1.0,1610612758,Sacramento Kings,2015-16,Sacramento Kings,20
46.0,35.95,82.4,0.43920000000000003,7.55,23.15,0.32210000000000005,17.25,23.05,0.7501,11.3,30.85,42.15,20.7,15.25,7.8,4.9,6.15,21.1,22.55,96.7,-2.75,1.0,20.8,20.8,20.8,26.0,48.75,48.9,44.25,44.3,44.25,45.6,44.9,44.0,46.0,39.7,49.65,48.45,50.5,44.0,38.2,36.15,39.75,41.7,31.1,51.6,45.65,1.0,1610612743,Denver Nuggets,2015-16,Denver Nuggets,20
49.0,38.95,89.35,0.4373,8.15,23.3,0.35065,15.55,20.05,0.76895,12.15,34.4,46.55,22.35,14.55,8.0,5.9,6.7,22.1,18.4,101.6,2.1,1.0,16.75,16.75,16.75,7.9,42.1,33.95,49.85,33.9,34.95,39.85,39.95,39.85,39.8,30.15,30.8,28.3,44.2,41.35,38.15,29.75,47.9,45.85,37.65,41.7,32.7,1.0,1610612753,Orlando Magic,2015-16,Orlando Magic,20
46.2,34.55,77.2,0.4485,6.55,17.9,0.37089999999999995,17.4,22.7,0.77025,10.2,27.05,37.25,20.6,16.5,7.65,5.1,4.85,23.35,21.5,93.05,-8.0,1.0,23.1,23.1,23.1,28.45,57.25,57.9,52.15,26.95,27.1,39.55,41.2,43.15,38.75,43.2,58.6,58.15,51.8,48.0,44.1,46.25,32.5,55.2,33.35,54.35,49.85,1.0,1610612749,Milwaukee Bucks,2015-16,Milwaukee Bucks,20
45.6,37.15,82.05,0.45454999999999995,8.85,25.85,0.34155,16.5,21.1,0.7903499999999999,8.2,30.95,39.15,20.5,13.65,8.25,5.0,4.35,21.4,20.2,99.65,-2.75,1.0,22.0,22.0,22.0,28.4,47.5,50.25,41.6,36.65,33.0,46.5,45.35,46.65,40.6,50.15,51.55,54.85,47.55,43.45,35.8,31.6,30.95,45.5,41.9,48.9,43.85,1.0,1610612740,New Orleans Pelicans,2015-16,New Orleans Pelicans,20
46.5,34.4,79.1,0.4349,4.75,15.7,0.29925,21.65,27.6,0.7897000000000001,9.45,33.0,42.45,18.5,15.35,7.25,4.3,5.6,23.1,23.4,95.2,-1.25,1.0,19.0,19.0,19.0,26.15,51.85,45.9,55.25,45.8,44.25,51.35,40.05,39.95,44.7,42.9,35.55,39.05,60.25,43.65,45.9,41.1,43.45,55.0,32.75,51.7,37.6,1.0,1610612750,Minnesota Timberwolves,2015-16,Minnesota Timberwolves,20
46.1,33.25,80.85,0.4107,6.7,20.9,0.3189,18.75,23.45,0.7977000000000001,11.35,31.65,43.0,18.15,14.55,7.15,5.55,4.15,23.4,20.7,91.95,0.1,1.0,15.4,15.4,15.4,24.7,52.55,44.7,52.6,44.65,41.85,48.2,35.0,34.9,49.25,34.45,53.4,44.75,50.45,46.9,26.85,40.95,39.9,59.4,34.25,52.5,38.55,1.0,1610612752,New York Knicks,2015-16,New York Knicks,20
43.6,31.1,77.25,0.39960000000000007,5.75,19.1,0.2978,13.7,19.35,0.70545,11.6,29.55,41.15,16.3,15.45,7.3,5.0,5.25,21.05,20.85,81.65,-6.8,1.0,20.2,20.2,20.2,47.45,66.4,61.35,66.2,47.15,39.5,57.55,51.2,48.7,54.4,37.0,55.6,50.35,68.15,46.55,44.35,27.65,42.8,60.6,33.3,69.15,44.55,1.0,1610612751,Brooklyn Nets,2015-16,Brooklyn Nets,20
45.2,37.15,82.65,0.4521,9.2,23.75,0.38180000000000003,18.05,24.05,0.748,10.35,33.4,43.75,18.0,16.4,8.5,4.35,4.3,22.45,22.6,101.55,4.3,1.0,12.2,12.2,12.2,30.35,40.45,48.9,38.5,38.9,48.2,36.55,39.5,40.15,45.85,47.9,43.1,45.6,55.75,39.25,34.25,35.75,28.2,40.6,39.25,42.75,26.85,1.0,1610612756,Phoenix Suns,2015-16,Phoenix Suns,20
46.0,32.25,78.85,0.40885,6.95,23.25,0.29635,19.35,25.1,0.76585,8.7,32.7,41.4,16.25,15.15,6.95,4.9,4.6,22.9,20.1,90.8,-8.1,1.0,16.3,16.3,16.3,23.0,51.75,55.2,46.1,44.2,47.85,48.7,43.9,43.05,46.15,54.15,38.7,48.4,46.25,49.4,40.8,30.35,32.1,50.6,41.65,51.55,40.45,1.0,1610612747,Los Angeles Lakers,2015-16,Los Angeles Lakers,20
45.0,31.45,77.15,0.4072,6.85,22.65,0.30165000000000003,14.85,22.15,0.6764500000000001,10.55,32.3,42.85,16.15,18.95,6.9,5.95,6.65,23.1,20.2,84.6,-9.3,1.0,11.8,11.8,11.8,36.8,61.1,61.7,54.4,58.8,61.75,53.8,48.2,46.2,50.6,34.45,39.1,37.6,64.3,55.1,51.1,40.65,50.05,47.85,34.75,65.8,42.7,1.0,1610612755,Philadelphia 76ers,2015-16,Philadelphia 76ers,20
45.6,37.95,82.7,0.45550000000000007,10.0,29.5,0.33419999999999994,17.75,22.4,0.7793,9.7,31.95,41.65,25.8,14.95,9.9,5.35,4.45,19.85,20.45,103.65,6.45,1.0,21.7,21.7,21.7,27.7,51.7,49.2,53.55,50.95,45.75,52.65,41.95,41.6,43.45,39.2,55.15,52.05,50.3,41.0,38.05,50.15,42.4,45.75,35.25,51.35,50.6,1.0,1610612744,Golden State Warriors,2016-17,Golden State Warriors,20
44.8,33.9,77.4,0.4366499999999999,9.45,27.1,0.34805,19.15,25.95,0.7386,9.95,29.95,39.9,19.2,14.5,7.9,4.2,5.15,22.75,23.7,96.4,-1.0,1.0,29.5,29.5,29.5,35.6,59.55,58.95,51.3,60.35,67.7,49.6,46.15,42.35,62.45,35.35,53.0,50.1,62.4,49.0,42.05,37.1,41.55,53.55,31.8,62.45,52.55,1.0,1610612738,Boston Celtics,2016-17,Boston Celtics,20
44.9,34.5,77.15,0.44805,7.6,20.6,0.36455000000000004,17.35,21.4,0.8051499999999999,9.65,31.0,40.65,18.4,13.2,8.5,5.4,4.05,19.75,19.55,93.95,4.75,1.0,20.8,20.8,20.8,37.15,63.65,60.75,55.25,52.65,57.7,50.85,43.05,44.5,42.45,44.65,53.7,52.85,61.5,36.9,38.45,45.8,43.15,49.9,41.55,64.4,47.95,1.0,1610612759,San Antonio Spurs,2016-17,San Antonio Spurs,20
45.3,35.75,80.5,0.44349999999999995,11.35,30.15,0.36755000000000004,19.3,25.95,0.74375,10.45,33.5,43.95,19.1,14.2,6.9,5.85,4.95,20.3,22.9,102.15,6.45,1.0,14.75,14.75,14.75,34.55,55.65,48.45,54.4,47.9,53.3,46.15,36.65,34.7,44.75,32.45,45.85,40.55,52.8,44.05,40.7,24.35,47.3,50.35,29.8,53.95,39.65,1.0,1610612739,Cleveland Cavaliers,2016-17,Cleveland Cavaliers,20
46.25,36.65,80.65,0.45275,8.2,23.5,0.3417,20.1,25.5,0.7813,10.6,30.8,41.4,18.15,12.9,8.95,4.65,4.4,22.1,21.5,101.6,5.35,1.0,20.25,20.25,20.25,24.3,45.95,45.65,47.9,46.4,46.6,47.55,41.0,41.3,43.35,40.3,49.45,46.95,43.85,41.15,31.65,39.5,37.35,49.8,32.2,48.35,42.45,1.0666666666666667,1610612761,Toronto Raptors,2016-17,Toronto Raptors,20
46.0,36.75,81.4,0.45045,12.35,34.25,0.3589,15.2,20.95,0.7292,11.25,31.55,42.8,22.75,16.9,7.0,4.65,4.65,21.1,18.55,101.05,1.6,1.0,26.65,26.65,26.65,23.75,53.05,55.1,46.45,51.9,60.05,42.8,61.2,60.65,50.8,37.55,48.5,46.95,50.1,53.05,49.45,33.8,36.5,48.2,51.95,62.65,49.85,1.0,1610612745,Houston Rockets,2016-17,Houston Rockets,20
